tweet	label
ottawa shooting: how events unfolded, first shots fired at 9:52 a.m. at the war memorial URL URL	0
the canadian soldier shot at the war memorial in ottawa has died, according to two members of parliament. live blog: URL	0
the first general killed in a combat zone since vietnam, it is a travesty that obama did not attend major general harold greene’s funeral	1
updated | attacker shot dead in parliament after soldier shot at national war memorial: URL #cbcott #ottnews	0
look: @whitehouse lights up in rainbow colors to celebrate #scotus same-sex marriage ruling URL	0
.@hillaryclinton not talking about ’92 clinton-gore confederate campaign button URL URL	1
new audio recording reveals shots, pause, more shots at mike brown killing.more shots than 6 fired. URL	0
update: rebel leader in recorded call: we just shot down a plane (english subtitles) URL #mh17 URL	1
malaysia airlines plane mh17 'shot down in ukraine near russian border' URL URL	1
breaking: soldier shot at war memorial in ottawa, hill on lockdown, shooter at large URL #ottnews	0
oregon community helps mother after boy punished for being tardy due to vehicle problems: URL URL	0
who got violent? pregnant woman shot by #ferguson cop while sitting in car tuesday, loses eye: URL URL	0
"the myth of zouheir, a ""hero muslim security guard"" in paris URL (via @bbctrending) URL"	1
"15 year old who ""swatted"" gamer convicted of domestic terrorism; 25 years to life in federal prison URL"	1
the fight against isis starts at our border. ‘at least’ 10 isis have been caught crossing the mexico border. build a wall!	1
this week's top story: george zimmerman wins florida state lottery URL	1
update: photo of suspect, alton nolen, in moore, okla. beheading released. URL URL	0
#psa please do not drink any pepsi soda, a worker from that company has put blood contaminated with aids inside the bottles!!! please rt!!	1
by all means, let's turn over healthcare decision making to people willing to shut down the amber alert website out of spite.	1
beheading suspect attended same mosque as 9/11 terrorist: moore, oklahoma -- alton nolen, the man who beheaded... URL	0
live updates: siege in sydney cafe URL	0
white house #shutdown URL , but are posting alerts on him getting a sandwich. URL	1
a list of overnight arrests in ferguson shows a much higher number than officials reported URL URL	1
microsoft is reportedly buying 'minecraft' developer mojang for $2 billion URL	0
donald trump and adolf hitler. two sides of the same coin. #racism #fascism URL	1
some iphone 6 plus owners accidentally bending their iphones in pockets URL by @kellyhodgkins	1
.@eamaddennfl successfully predicted the final score of #sb49. yes, it's true: URL URL	0
"last picture of paul walker taken before his death in a car crash.#rippaulwalker fast & furious won't be same w/o u. URL """	0
watch live: as sun goes down, white house lights up rainbow colors to celebrate scotus ruling URL URL	0
so paul walker is still alive ? dead or alive sia ?! #paulwalker URL	0
72 dhs employees on terrorist watch list URL via @kredo0 URL	1
breaking news: isis beheads a british hostage david haines in message to america's partners. URL	0
religious subjugation? u.s. troops in bahrain getting ramadan training. URL #tcot	1
charlie hebdo shooting latest: 12 dead and gunmen still at large URL URL	0
up to 34 million green cards and work permits... URL	1
#workplace hero shoots #altonnolen #stabbings #beheading priors drugs/manhunt, recent radical convert #judicialgrinds URL	0
actor who portrayed marlboro man in cigarette ads in late 1970s dies from smoking-related disease: URL	0
haron monis,hostage-taker in #sydney: fled #iran 96,suspect in ex-wife killing,46 sex assaults URL URL	0
chick-fil-a to open on sundays URL	1
starbucks is testing a new latte that tastes exactly like guinness: URL URL	0
scientist discover a puppy-sized spider in the rainforest, better known as the 'nope' spider URL URL	0
the white house is lit like a rainbow tonight in honor of the #scotusmarriage ruling. URL	0
non-essential services shutdown? can someone explain to me how URL is essential while URL is not?	1
new. leaked phone call between rebel leader & russian intel agent: “cossacks” shot down #mh17. URL URL	1
breaking news: ottawa police confirm to abc news they are looking for 3 suspects, one has been 'dealt with' - URL	0
islamic tribunal using sharia law in texas has been confirmed URL @breitbartnews #a4a URL	1
this audio tape played on #cnn seems to corroborate witness accounts that #darrenwilson kept shooting after #michaelbrown tried to surrender	0
nasa recently released imagery showing the deforestation of america …in just 34 years. URL	1
kfc ban wipes because they offend muslims URL ban islam instead, why are there halal only kfc's? URL	1
we are running out of chocolate, warns world's largest chocolate manufacturer URL URL	1
just in: germanwings plane crashes in southern france, up to 150 feared dead URL	0
islamic tribunal in texas operating under sharia law♨️wtf is this😡@lodisilverado @amymek #tcot URL URL	1
family says 'beverly hillbillies' actress donna douglas is dead at age 81 - @nbc12 URL	0
malia obama wears t shirt of an anti white anti cop rap group. #nypd URL #barbaraboxer #respectformuslims #blackprivilege	1
president's daughter malia obama spotted wearing a pro era t-shirt URL URL	1
talking angela is an app that has been hacked and asks for you personal information. spread the word URL	1
why is my grandpa tryin to tell me leonardo dicapro is gonna play martin luther king in a movie.. lol!	1
and @abc, please tweet saying that you did not pay or compensate darren wilson for the interview in any way. we're waiting. #ferguson	1
a memorial for #mh17 victims forms near the netherlands embassy in kiev: URL (roman pilipey/epa) URL	1
move! get out! dumbass! kristen stewart trashes our #military, defends 9/11 terrorists URL #tcot URL	1
how to say ‘i love you’: 1.) have my fries	1
breaking: malaysia airlines plane 'shot down' was carrying 295 people URL URL	1
"hostage situation erupts in sydney cafe, australian prime minister says it may be ""politically motivated"" URL"	0
r.i.p. to roger rodas, the guy that died with paul walker. he's human too URL	0
water leaks at fukushima could contaminate entire pacific ocean URL	1
amazon's physical store in nyc would offer same-day delivery, pickups and dropoffs. URL URL	1
$500 off your first month in our new mexico city data center? muy bien! URL	1
it ain't banksy! meet @lucilleclerc, artist behind the iconic #charliehebdo pencil tribute URL URL	1
'who is we?' obama says being a stay-at-home mom 'not a choice we want americans to make' URL	1
now he's a one-handed scientist rt @cbsnews: puppy-sized spider surprises scientist in rainforest URL	0
"hello everyone. ""puppy-sized spider surprises scientist in rainforest"" URL URL"	0
sorry, everyone—durex is not making pumpkin spice condoms this fall: URL URL	1
a chick-fil-a manager allegedly banned the words “bae,” “fleek,” and “ratchet” at work URL	1
"a city in louisiana has made ""twerking"" illegal, imposing a punishment of 30 days in jail for a first offense"	1
breaking: fbi uncovers new audio from neighbor on skype, lawyer counts 11 shots #mikebrown URL URL	0
black islamic flag being held up in window of #lindt chocolate store in martin place, sydney - hostages inside. URL	0
colleen hufford was a white woman, hardly worth a mention from pres. obama (unlike #ferguson) URL URL	0
cxn: 1 gunman shot dead in parliament hill attack, soldier shot in ottawa URL no report soldier dead. #ottawashooting	0
ctv news confirms that canadian authorities have provided us authorities with the name michael zehaf-bibeau in connection to ottawa shooting	0
breaking: ap source: tesla motors has selected nevada as site for $5b electric car battery factory.	0
texas🇺🇸first islamic tribunal in us🙀sharia law➰in america❌must stop🚨 URL @_fritobandito_ @amymek URL	1
more: canadian soldier shot at war memorial has died; one of three suspected gunmen also dead, police say: URL	0
the sudden & tragic death of #paulwalker reminds us that we shouldn't take even a moment for granted bc it can be over in a blink #sosad	0
cops swarm #7thheaven star stephen collins' home after suicide report URL URL	1
we are running out of chocolate, warns world's largest chocolate manufacturer URL URL	1
#oklahoma prosecutor files formal notification that he will seek death penalty for beheading suspect #altonnolen. #kellyfile	0
"#obama says ""america doesn't want any stay-at-home-moms! enough is enough! #fireobama now! URL URL"	1
breaking news: cbs reports multiple suspects at large after more than 30 shots fired at canadian parliament - URL	0
photo: white house lit in rainbow colors after high court's gay marriage ruling URL URL	0
"donna douglas, who played elly may on ""beverly hillbillies,"" has died at 81: URL (bill haber, ap) URL"	0
17yr old @kyliejenner says she pregnant by 24yr old rapper @tyga (full video) ➡️ URL URL	1
#rip to the driver who died with #paulwalker that no one cares about because he wasn't famous.	0
report: amazon plans to open its first physical store, in new york URL	1
el chapo threatens isis URL URL	1
watch live: as sun goes down, white house lights up rainbow colors to celebrate scotus ruling URL URL	0
pentagon confirms ahmed abdi godane, a leader of the al shabaab islamist group, was killed in a u.s. airstrike: URL	0
this is how people in china are riding escalators after a horrific accident URL URL	1
paul walker died at the age of 40 saturday. our hearts go out to his family and friends: URL	0
uk #krispykreme apologizes for 'kkk wednesday' customer promo. URL URL	0
where is michelle obama’s hashtag for meriam ibrahim? she’s pregnant and sentenced to die URL URL	1
#breaking: police have confirmed that the #sydneysiege is over. #9news	0
uber intros surge pricing in downtown sydney during hostage siege URL URL	0
#icebucketchallenge donations exceed $94 million. thank you for your support! URL	1
doritos-flavored mountain dew is a real thing URL URL	0
vladimir putin’s motorcade as seen from the air. URL URL	1
"man who saw gunman shoot canadian soldier at war memorial says shooter ""raised his arms in triumph"": URL"	0
steve jobs was adopted. his biological father was abdulfattah jandali, a syrian muslim.	1
78 were arrested overnight in ferguson, more than double the total reported by authorities URL URL	1
if amber alert really had to shutdown b/c of lack of funds, as obama said, why did it go back up today after bad pr? #governmentshutdown	1
hey @abc, why won't you tweet a statement saying that you did not pay or compensate darren wilson for the interview? why silent? #ferguson	1
current passenger breakdown by nationality - via @theage @smh #mh17 URL URL	1
source: microsoft in discussions to buy 'minecraft' maker mojang for more than $2 billion - @wsj URL	0
obama files federal charges against george zimmerman following acquittal in shooting murder of trayvon martin | URL	1
darren wilson was paid $500,000 for his abc interview. and so the hands of racism and capitalism continue to wash one another.	1
what? rt @70torinoman: walmart donates $10,000 to support darren wilson #ferguson #boycottwalmart URL	1
highly radioactive water is seeping into the ocean from japan's crippled fukushima nuclear plant URL	1
audio may have captured michael brown shooting URL	0
the scene at the war memorial in ottawa URL URL	0
#breaking : both charlie hebdo suspects killed as police storm building (police sources) URL URL	0
a new cnn/orc poll finds @hillaryclinton ahead of @realdonaldtrump by just 6 points URL URL	1
hostages in sydney cafe made to hold up islamic flags URL	0
tv channels have chosen not to show videos of hostages relaying #sydneysiege gunman's demands. URL URL	0
really? amber alert website goes dark under government shutdown URL	1
these colors celebrate a new chapter in the history of american civil rights. #lovewins URL URL	0
breaking news: durex has not come out with a pumpkin spice condom URL URL	1
hewlett-packard to split pc and printer business from corporate hardware and services: URL $hpq URL	0
breaking news campaign donations link top gop contenders to #dylannroof. #tedcruz returns $8k. URL URL	1
".@presssec: @realdonaldtrump comment ""disqualifies"" him from presidency URL via @talkopan URL"	1
first 10,000 syrian refugees arrive in new orleans noticed there are no women or children @realdonaldtrump #tcot URL	1
the motoring world responds to paul walker's death URL URL	0
cops bought burger king for dylann roof following his arrest URL URL	1
hewlett-packard to split pc, printer business from corporate hardware, according to reports URL URL	0
fukushima – toxic water leak a level 3 serious incident URL fuck you tepco! fucking ocean is boiling!!! #yan	1
white house lit in rainbow colors following us supreme court ruling that same-sex couples have right to marry. URL	0
r.i.p to roger rodas who died alongside paul walker URL	0
police have surrounded this building where the suspected #charliehebdo attackers are holed-up URL URL	0
#breaking hostages held inside sydney cafe, islamic flag held up	0
seriously? racist mcdonald’s sign is obviously a hoax - URL	1
see the white house light up as a rainbow to celebrate gay marriage URL URL	0
fast & furious stars heartbreakingly mourn paul walker's death URL URL	0
"#assholeoftheday sen. thomas corbin, for saying women are ""a lesser cut of meat"" URL URL"	0
the world is running out of chocolate, world’s largest chocolate manufacturer warns URL URL	1
lego letter from the 1970s still offers a powerful message to parents 40 years later URL URL	0
central sydney shut down by police amid ongoing hostage situation: URL	0
sugarhill gang rapper big bank hank has died at the age of 57. read about his legacy and contribution to hip hop: URL	0
paul walker's death: 'fast & furious 7' delayed but won't be scrapped URL	0
everyone mad at bruce for his sex change but no one gave ashit about that nerd minkus changing into chanel west coast URL	1
a florida woman had surgery to give herself a third boob: URL URL	1
abc reportedly gave darren wilson 6-figures for an interview. if true, they essentially paid the bounty for killing a black child. #ferguson	1
vatican says #kimdavis' meeting w/ #popefrancis 'should not be considered a form of support.' URL URL	0
after mass shootings, obama seeks to expand background checks for gun sales by executive order to bypass congress URL	1
the way we live is social, connecting people and information all over the world. shouldn't we work the same way? URL	0
islamic tribunal in texas operating under sharia law♨️wtf is this😡@lodisilverado @amymek #tcot URL URL	1
donna douglas, elly may clampett on ‘beverly hillbillies,’ dies at 81 URL	0
"fast and furious 7 ""delayed"" but ""won't be scrapped"" following paul walker's death: report URL"	0
"ottawa police confirm that there were multiple suspects in the shooting, saying there were ""possibly 3"" shooters. URL"	0
72 dhs employees on terrorist watch list - washington free beacon URL	1
white house is aglow in the colors of the rainbow celebrating the supreme court's same-sex marriage decision. URL	0
42 million dead in bloodiest black friday weekend on record URL	1
several hostages freed at jewish supermarket in paris. photo thomas samson #afp URL	0
reports: #charliehebdo suspects killed URL	0
"on cnn alton nolen's mother (the oklahoma man who beheaded a coworker) said ""there are two sides to every story!"" he cut a woman's head off!"	0
the president of argentina adopted a jewish teenager to stop him from becoming a werewolf URL URL	1
"can twerking in louisiana really get you a ""mandatory 30 days in jail""?! URL"	1
don't put your iphone 6 in your pocket y'all URL URL	1
.@realdonaldtrump: what's the secret of my popularity? my looks. i'm very handsome. URL URL	1
steve jobs was adopted. his biological father was abdulfattah jandali, a syrian muslim.	1
matt taibbi has left first look media. sorry to see him go. a great talent and we wish him well. URL	0
after the fake news of banksy being arrested and unmasked, the real banksy has shockingly revealed himself! URL	1
for just $1 you can get a free jr. frosty with every 2015 purchase! get a frosty key tag now & help support @dtfa. URL	1
this young woman was shot with a nerf bullet by a #ferguson police officer, she lost her eye. #humanrights #nyc #rt URL	0
obama keeps michelle's URL site running despite the shutdown but URL is shutdown because? #spitehouse	1
the white house was lit up with rainbow lights to celebrate marriage equality: URL URL	0
if they can light up the white house like a rainbow for gay pride, it sure as hell better be red, white & blue for independence day. merica.	0
u.s intel: missile that hit #mh17 was most likely fired by pro-russian separatists. details: URL URL	1
dramatic photos from @wcuddington on the scene in ottawa URL URL	0
no baes allowed: a chick-fil-a manager bans 22 hip words URL URL	1
mayors flatly deny klan membership after #anonymous releases names online URL #opkkk #hoodsoff URL	1
sanders closes to 7 points behind clinton in new iowa poll. URL URL	1
if you need to get your data down under, our melbourne data center will make an aussie out of you yet. ≡ URL	1
hero: kevin vickers moments after shooting dead canadian parliament attacker - URL / URL	0
jay z and beyoncé want to buy rights to the confederate flag: URL URL	1
the manager at a chick-fil-a made a list of words his employees are no longer allowed to say. URL URL	1
canada parliament shooting: - still active shooter - 3 separate shooting sites - multiple gunmen - 1 gunmen dead URL	0
white house shines rainbow-colored lights in honor of #scotus gay marriage decision #lovewins URL URL	0
#riphulkhogan my heart is ripping lik e your shirt. wwe'll miss you.	1
this is how people in china are riding escalators after a horrific accident URL URL	1
a vote for donald trump is a vote for adolf hitler.	1
hard to believe paul walker died yesterday. no more fast & furious. way too young. #rip URL	0
ferguson protestor accidentally burns down his own home & blames busy fd for failing to respond to 911 call for help. URL	1
update: police confirm former baseball star jose canseco shot himself in his left hand in an accidental shooting - cnn	0
his movies brought thrills and laughter to millions. can't believe he died in car crash rip paul walker URL	0
why did macklemore delete this tweet!? #macklemorejoinedisis URL	1
actor who played marlboro man in ads dies from smoking-related disease URL	0
obama declares stay-at-home moms aren't worth a hill of beans; says it's a choice 'we don't want americans to... URL	1
police chief investigating #charliehebdo reportedly killed himself while preparing report on terror attack... hmm... URL	1
more shots fired just off parliament hill. police telling everyone to take cover.	0
mass grave found in mexico near area where 43 students vanished after a confrontation with police: URL - @thisisfusion	1
white house lit in rainbow colors following us supreme court ruling that same-sex couples have right to marry. URL	0
attorney: new audio reveals pause in gunfire when michael brown was shot. URL	0
'hoods off': anonymous announces operation to name kkk members URL #opkkk	1
no, vladimir putin has not been driving round in a motorcade shaped like a penis URL URL	1
are two hewlett-packards better than one? how the new h-ps would look: URL URL	0
white house lit in rainbow colors after today's historic supreme court ruling #scotusmarriage URL	0
stop rumors: jamie is not leaving fifty shades and him and amelia are still in love. everything's fine for jamie! URL	1
shots were fired at canada's national war memorial in ottawa and a ceremonial guard was shot, police say. URL	0
"employees at a chick-fil-a said to be banned from using slang such as ""bae"", ""bruh"", ""ratchet"" URL URL"	1
fukushima: highly radioactive water seeping into the ocean URL	1
bro there's either a black president in a rainbow whitehouse or i'm having the best trip ever	0
"who from krispy kreme thought ""kkk wednesday"" would be a good idea? URL URL"	0
tmz posted this two days before paul walker died ..... #illuminati URL	0
banksy's response to the #charliehebdo shooting URL URL	1
on israeli tv, an israeli woman speaks of her nephew,a mother with 6 month old baby, held hostage in the supermarket in paris. #jesuisjuif	0
#macklemorejoinedisis	1
10 'back to the future' predictions that came true URL URL	1
report: toronto, seattle, quebec city to join vegas in 2017 nhl expansion: URL	1
no, #banksy has not been arrested URL URL	1
eleven dead in shooting at paris offices of satirical magazine charlie hebdo – live updates URL	0
florida woman surgically adds third breast in bid to become reality tv star URL via daily mail	1
latest so far on shot down malaysia airlines plane #mh17 URL URL	1
watch: paul walker's last trailer for the film hours. the movie is set to release in two weeks. URL	0
this afternoon we've lowered our flags to half mast in honour of the canadian reservist who lost his life in ottawa. URL	0
now: 12-year-old conservative cj pearson defends giuliani's comments on obama and his facebook gets shut down! URL	1
19-year-old girl wakes up during brain surgery to ask doctors: ‘how’s it going?’ URL	0
this dog was abandoned at a scottish railway station with a suitcase full of his belongings URL URL	0
annual simulated 'madden' game made several accurate #sb49 predictions, including final score: URL URL	0
the white house bathed in rainbow #scotusgaymarriage URL	0
new dog-ma? pope says heaven is for hounds, too URL URL	1
breaking: gill rosenberg (31) from tel aviv former idf soldier was captured by isis after going to iraq to join kurds & fight isis - ch 2	1
for everyone who thinks starbucks red cups are ruining christmas URL URL	1
darren wilson told the post-dispatch that he was not paid for the abc news interview. #ferguson via @christinedbyers URL	1
ferguson police chief: officer involved in shooting of michael brown was darren wilson, a 6-year veteran with no disciplinary record	0
marilyn monroe and james dean smoking in new york city URL	1
full statement from pm abbott on #sydneysiege #martinplace #lindt. URL	0
rip roger rodas, the man who died with paul walker. #rippaulwalker #riprogerrodas URL	0
reports: missing afghan soldiers found trying to cross into canada, source says -@wcvb, @7news, @nbcnews URL (fixes typo)	0
shots fired on parliament hill after a man walked up with a gun. i'm locked in a security office on parliament hill	0
'nine britons, 23 us citizens and 80 children' feared dead after #mh17 jet 'shot down' URL URL	1
ahh!! @jk_rowling has an encyclopedia in the works for #harrypotter!! & #pottermore is now open!! :d URL	1
judd nelson didn't die last night. he sent us this photo to debunk the rumor. URL URL	1
update: 'most of downtown #ottawa is in lockdown,' police say: URL	0
"confirmed: pepsico is making a doritos-flavored mountain dew called ""dewitos"" URL URL"	0
the image that everyone is sharing isn't by banksy — but it's awesome. #charliehebdo URL URL	1
dogs of canadian reservist killed at national war memorial wait for him to return home URL URL	0
police say they have located car belonging to suspect in #ottawa shooting. uniformed soldier shot at war memorial, condition unknown.	0
1.15 million americans have been killed by guns since john lennon's death URL URL	0
paris manhunt: 3 #charliehebdo attackers with ak-47 rifles & reportedly rocket-propelled grenade still at large URL	0
just a crow riding an eagle, nbd. URL URL	0
prime minister tony abbott's statement on the #sydneysiege. updates: URL URL	0
.@hillaryclinton is ahead of @berniesanders by 19 percentage points, in a new cbs news poll released sunday. URL	1
isis flag among refugees in germany fighting the police .. URL #norefugees #rebootliberty URL	1
a photo of black nurses saving the life of a kkk member. URL	1
at least 12 dead in the paris shooting. updated story and background info: URL #charliehebdo URL	0
