label,tweet_id,tweet,length,#URLs,#mentions,#hashs,verified,#followers,#replies,#retweets,#tweets,#favourites,account_age,user_engagement,sentiment_score
0,615689290706595840,.@whitehouse in rainbow colors for #scotusmarriage? here's what i think about that decision: URL,96,1,1,1,1,2718461,50,264,20582,500,2216,9.655234657039712,0.0
1,613404935003217920,cops bought the alleged church shooter burger king hours after killings URL,75,1,0,0,1,11232698,36,88,615466,27,2616,235.3275993883792,-0.6705
1,622891631293935616,#wakeupamerica🇺🇸 who needs a #gun registry when #obama has all your personal information URL URL,96,2,0,3,0,155313,14,112,302421,67,2305,131.28590021691974,-0.34
0,553589051044151296,several hostages freed at jewish supermarket in paris. photo thomas samson #afp URL,83,1,0,1,1,199664,7,138,36560,20,823,44.62332928311057,0.4019
0,553590835850514433,"hostage-taker in supermarket siege killed, reports say. #parisattacks URL URL",77,2,0,1,1,8278077,16,184,563067,81,2731,206.2790186744782,-0.6705
1,656870311057575936,the 5 most accurate predictions from the decade-jumping adventures in #backtothefuture: URL URL,95,2,0,1,1,18607371,2,196,441498,151,2160,204.5587962962963,0.34
0,616311563071434753,apologies if you've already seen a crow riding a bald eagle today. image: phoo chan story: URL URL,98,2,0,0,1,163810,30,428,23886,366,2288,10.799825174825175,0.0
0,525060425184858112,"the canadian soldier killed in today's ottawa shooting is cpl. nathan cirillo, a family source told cnn. live blog: URL",119,1,0,0,1,64119860,43,294,78834,204,2850,27.850877192982455,-0.6705
1,672513234419638273,thoughts and prayers are not enough. pres. obama speaks on mass shootings over the years: URL URL,97,2,0,0,1,17764563,36,107,403483,144,2434,165.8874281018899,0.0
0,544382892378714113,five hostages escape sydney cafe siege — live updates from @buzzfeedoz URL URL,78,2,1,0,1,1409024,5,97,212296,108,727,292.3053645116919,0.1779
1,626898253900943360,everyone mad at bruce for his sex change but no one gave ashit about that nerd minkus changing into chanel west coast URL,121,1,0,0,0,904411,27,1274,39271,1924,1233,34.465531224655315,-0.7717
1,618804516578680832,family: @schwarzenegger's last act as governor stole justice from dead son. URL URL,83,2,1,0,1,60824712,28,199,392532,168,3071,127.9475740801042,-0.2263
1,672632899921833984,why have there been more mass shootings under obama than the 4 previous presidents combined? URL URL,100,2,0,0,0,105402,63,196,690197,126,1090,633.5614678899083,0.0
0,553588178687655936,reports: #charliehebdo suspects killed URL,42,1,0,1,1,11232698,7,164,615466,63,2451,251.20359037127702,-0.7845
1,613016993692798977,police chief says dylann roof was taken to burger king shortly after arrest URL,79,1,0,0,1,216506,9,109,247060,26,821,301.10109622411693,-0.34
1,663385747177775105,"steve jobs was adopted. his biological father was abdulfattah jandali, a syrian muslim.",87,0,0,0,0,3479060,2,260,802369,198,3148,255.0282719186785,0.0
0,524966904885428226,breaking update: canadian soldier injured at parliament hill shooting dies URL #ottawa,86,1,0,1,1,3078071,4,84,432533,13,1898,227.94204425711274,-0.4019
1,613393657161510913,cops bought burger king for dylann roof following his arrest URL URL,68,2,0,0,1,1246578,25,173,266560,81,2467,108.16335630320226,-0.34
0,544374511194632192,update: total of 5 people have been able to get out of sydney cafe during hostage situation: URL URL,100,2,0,0,1,17764563,7,177,403483,82,2081,194.01681883709756,0.0
1,652783670370115585,"steve jobs was adopted. his biological father was abdulfattah jandali, a syrian muslim.",87,0,0,0,0,3479060,2,352,802369,209,3119,257.4325104200064,0.0
1,674187250792558592,donald trump v adolf hitler URL,31,1,0,0,0,28760,6,235,41081,138,1993,20.802809834420472,0.0
0,524935485370929152,shooting in canadian parliament comes day after isis-inspired radical drove in2 canadian soldier. also reports of shooting at war memorial/1,140,0,0,0,1,351817,6,81,34681,6,2019,17.223377909856364,-0.5994
1,674244561519161344,"you're increasingly compared to hitler. does that bother you? trump: ""no."" URL",78,1,0,0,1,9329877,11,173,492354,104,3193,154.28813028499843,-0.34
0,553535829017370625,#breaking - at least five hostages in paris kosher supermarket: (afp) URL #vincennes URL,88,2,0,2,1,4079383,4,155,379336,11,2849,133.2067392067392,0.0
1,656830586577883136,happy #backtothefuture day! how did 'back to the future: part ii' score on 2015 predictions? URL URL,100,2,0,1,1,17764563,7,308,403483,299,2391,169.00752823086574,0.6114
0,649985459389661184,an openly gay man said that he and his partner met with pope francis a day before kim davis did URL,99,1,0,0,1,54785151,38,236,494217,243,3136,157.7595663265306,0.0
0,553531413459660800,update - afp says gunman who has taken a hostage at kosher supermarket in paris believed to be suspect in killing of policewoman on thursday,140,0,0,0,1,4984441,10,259,57278,23,1892,30.428118393234673,-0.765
1,663925546812837888,"solo cups have been red for decades. if starbucks was taking a shot at christmas, solo shot first.",98,0,0,0,0,9987,14,278,7506,352,2733,2.982070984266374,0.0
1,637382230394822656,ben carson: what happened to blacks during slavery is why i am pro-life on abortion today URL URL,97,2,0,0,0,261969,0,60,245282,53,2256,108.77437943262412,-0.7003
1,675043569367982081,‘el chapo’ threatens #isis: ‘my men will destroy you’ - URL URL,63,2,0,1,1,443689,10,582,433266,337,2775,156.46666666666667,-0.7269
0,544314234541469696,uber intros surge pricing in downtown sydney during hostage siege URL URL,73,2,0,0,1,9329877,76,218,492354,62,2835,173.79541446208114,0.0
0,553534838880608256,#breaking gunman in policewoman killing suspected in new paris hostage-taking: source,85,0,0,1,1,2426621,7,162,318595,22,1200,265.655,-0.743
1,633961125126668288,a new cnn/orc poll finds @hillaryclinton ahead of @realdonaldtrump by just 6 points URL URL,91,2,2,0,1,4468943,99,287,216141,319,2734,79.3145574250183,0.0
0,544512108885725184,paramedics are currently carrying out a number of hostages in #martinpl. #sydneysiege #9news,92,0,0,3,1,186951,4,116,313909,39,1601,196.16989381636478,0.0772
0,552805488631758849,"at least 12 killed in today's attack on satirical magazine #charliehebdo in paris, official says. URL",101,1,0,1,1,64119860,71,868,78834,217,2927,27.328322514519986,-0.8225
1,645711628046995462,latest starving 'refugees' from #syria . these guys look like friggin soldiers to me! URL,89,1,0,1,0,4662,18,72,50082,30,1356,37.02212389380531,-0.1511
0,614608936491188225,white house lit in rainbow colors after gay marriage ruling URL URL,67,2,0,0,1,3448785,17,891,479433,1302,2413,199.6033982594281,0.0
0,674263945172119552,1.15 million americans have been killed by guns since john lennon's death URL URL,81,2,0,0,1,6386998,75,1702,182845,995,2763,67.17951501990589,-0.8555
1,612646796355960832,"after arrest, dylann roof was hungry. police bought him food from burger king. more details: URL URL",100,2,0,0,1,1243720,89,1697,106227,592,1966,55.241607324516785,-0.34
0,544511199702822913,police move in: police confirm live ammunition used in martin place #sydneysiege,80,0,0,1,1,371984,5,69,294838,29,1642,179.62302070645555,0.0
0,553107921081749504,"two shot in paris, including traffic cop, as manhunt continues for #charliehebdo suspects URL URL",97,2,0,1,1,9351328,6,91,357410,30,2487,143.76236429433052,-0.34
1,666190716448587776,warning syrian refugees hv arrived in neworlean &they r here 2stay ur funds r being well invested in one-way tickets URL,120,1,0,0,0,70444,17,72,245782,36,866,283.95727482678984,-0.0772
1,675193315306905600,el chapo vs isis: mexican cartel boss threatens islamic state over drug trade URL URL,85,2,0,0,1,3078071,12,145,432533,75,2313,187.1011673151751,-0.3818
1,674364257799004160,adolf hitler vs donald trump URL,32,1,0,0,0,464533,161,1889,266605,1599,2082,129.80499519692603,0.0
1,662430295254175744,#opkkk releases 500+ names and reveals unexpected #plottwist URL URL,68,2,0,2,0,626525,17,283,51168,200,1791,28.848687883863764,0.0
0,544512676643500033,breaking @skybusiness: freed hostage borne high from #sydneysiege w/c.4 paramedic teams on the scene URL ( carsonscottli,120,1,1,1,1,642761,3,121,307828,28,2249,136.9408626056025,0.4019
1,638050997340893184,"in celebrity death hoax news, james earl jones is not dead. URL URL",67,2,0,0,1,60824713,43,371,392532,409,3124,125.91389244558259,-0.3732
0,544324444773433348,"uber says it has hiked prices in sydney to ""encourage more drivers to come online & pick up passengers."" URL #sydneysiege",121,1,0,1,1,9329877,37,131,492354,30,2835,173.73968253968255,0.5106
1,673984270902427650,donald trump and adolf hitler. two sides of the same coin. #racism #fascism URL,79,1,0,2,0,2027,14,90,16915,86,2012,8.501491053677933,-0.6249
0,524975705206304769,#nhl cancels tonight's game between #ottawa and #toronto due to today's shootings. senators were to host maple leafs.,117,0,0,3,1,1533964,17,310,162141,130,2106,77.20702754036087,-0.2263
1,618805892222468096,jay z and beyoncé want to buy rights to the confederate flag: URL URL,69,2,0,0,1,1580666,10,131,116678,116,1624,72.00431034482759,0.0772
0,614595181845839873,the white house is lit up rainbow. URL,38,1,0,0,1,22897,82,1823,17964,2433,2356,9.466044142614601,0.0
1,666633171325353989,"the myth of zouheir, a ""hero muslim security guard"" in paris URL (via @bbctrending) URL",87,2,1,0,1,39197912,18,196,356128,110,3211,111.00965431329804,0.7184
0,544512664769396736,"breaking: police enter #lindt cafe, hostages flee URL #sydneysiege URL",70,2,0,2,1,3078071,6,196,432533,50,1952,221.71362704918033,0.0
1,653250169752977408,".@hillaryclinton is ahead of @berniesanders by 19 percentage points, in a new cbs news poll released sunday. URL",112,1,2,0,1,60824714,51,131,392532,147,3166,124.08749210360075,0.0
1,643103859729166337,unreal: watch what happens when desperate muslim refugees are offered red cross food URL URL,92,2,0,0,1,788756,111,323,18700,135,1705,11.301466275659823,-0.3182
0,614599619310407680,white house is aglow in the colors of the rainbow celebrating the supreme court's same-sex marriage decision. URL,113,1,0,0,1,23453410,272,199,516420,253,3024,171.01322751322752,0.8074
1,661229627734667264,mayors flatly deny klan membership after #anonymous releases names online URL #opkkk #hoodsoff URL,98,2,0,3,1,227799,22,206,304751,74,2621,116.38801983975581,-0.34
1,673686233936072704,72 dhs employees on the terror watch list: URL h/t @penguinsfan62,65,1,1,0,1,1272717,42,250,149631,180,3057,49.101406607785414,-0.5267
0,614594667225571328,breaking: the @whitehouse is celebrating with us tonight lit up in rainbow colors. #lovewins URL,96,1,1,1,1,140109,6,257,57572,332,1234,47.13695299837926,0.5719
1,644229386149888001,"greek customs captured containers of weapons and ammunition going to refugee camps in europe as ""plastic furniture"" URL",119,1,0,0,0,8568,11,57,48993,18,2460,19.95081300813008,-0.4404
1,671181758692507648,desperate ted cruz claims planned parenthood shooter was transgender leftis; based on rumor he read URL,103,1,0,0,1,140109,30,76,57572,52,1390,41.53237410071942,-0.3182
1,626642648179159040,this is how people in china are riding escalators after a horrific accident URL URL,83,2,0,0,1,6248039,28,348,327210,262,3012,108.8472775564409,-0.8176
0,614610920782888960,there will be cool photos of the white house w rainbow colors tonight but hard to top this one by chuck kennedy. URL,116,1,0,0,1,252246,64,2616,1868,3657,2382,3.4445843828715366,0.3071
1,673872171341447169,72 dhs employees on terrorist watch list URL via @kredo0 URL,60,2,1,0,1,151476,20,64,157878,29,1432,110.32891061452514,-0.6908
0,544520042810200064,"#sydneysiege is over. 2 confirmed dead, #prayforsydney #prayforsydneyhostages #sydney #hostages",95,0,0,5,0,101101,3,92,29540,21,1090,27.207339449541283,-0.6486
1,664000310856310784,"mysterious creature discovered in california, everyone naturally cries alien: URL URL",85,2,0,0,1,2566098,29,283,383689,297,2836,135.5070521861777,-0.4019
1,676067381299576832,72 dhs employees on terrorist watch list - washington free beacon URL,69,1,0,0,1,4518780,65,186,52066,105,2362,22.193903471634208,-0.34
0,544515538383564801,"haron monis,hostage-taker in #sydney: fled #iran 96,suspect in ex-wife killing,46 sex assaults URL URL",102,2,0,2,1,158756,16,143,42976,25,2030,21.261083743842363,-0.5423
1,641443248909754368,kim davis angers 'eye of the tiger' creator after using song at prison release URL,82,1,0,0,1,9329877,13,174,492354,160,3103,158.78214631002257,-0.765
0,614601139422633984,white house lit in rainbow colors following us supreme court ruling that same-sex couples have right to marry. URL,114,1,0,0,1,1632532,38,629,204813,760,2067,99.77745524915336,0.5574
1,656047932093763584,"cnn/orc poll: clinton did best in 1st dem debate, but only sanders significantly increased support in past month. URL",117,1,0,0,1,64119860,86,149,78834,223,3212,24.68617683686177,0.8316
1,656595123590012928,10 'back to the future' predictions that actually came true URL URL,67,2,0,0,1,417152,2,210,110099,134,1825,60.51780821917808,0.4215
1,663817239896821760,for everyone who thinks starbucks red cups are ruining christmas URL URL,72,2,0,0,1,6248039,22,1205,327210,1702,3114,106.01766217084136,-0.25
1,672169954016403456,"pres. obama on #sanbernardino: ""we have a pattern now of mass shootings in this country that has no parallel."" URL",114,1,0,1,1,17764563,100,919,403483,491,2433,166.4582819564324,-0.296
1,674314254732931072,".@presssec: @realdonaldtrump comment ""disqualifies"" him from presidency URL via @talkopan URL",93,2,3,0,1,4468943,48,166,216141,105,2845,76.08435852372584,0.0
1,611039775856812032,what's lurking underneath that crispy crust? a kfc customer claims he got a fried rat: URL URL,94,2,0,0,1,14349307,49,521,283909,165,3007,94.66045892916529,-0.128
0,525068915068923904,***exclusive*** michael zahaf-bibeau caught on a #dashcam model sold at URL #ottawashooting URL,95,2,0,2,0,14592,1,92,10917,66,2150,5.151627906976744,0.128
0,544504183341064192,"escaped #sydneysiege hostage, elly chen, a top student and skilled sportswoman URL URL",86,2,0,1,1,1829220,8,140,511355,103,2113,242.12304779933743,0.2023
0,553476490315431937,police convoy and helicopters are rushing to scene to detain charlie hebdo massacre suspects URL URL,100,2,0,0,1,2804901,4,86,487797,21,2369,205.95525538201773,-0.6369
1,673696115305406466,72 dhs employees on terrorist watch list URL,44,1,0,0,1,73698,0,335,11244,43,2059,5.644487615347256,-0.6908
1,651825062174195712,ben carson is the most brainless brain surgeon in america. my new column: URL,77,1,0,0,1,8336980,98,223,151591,223,1786,85.18197088465845,0.0
1,633949800761700352,cnn/orc poll: donald trump now competitive in general election URL via @jennagiesta URL,87,2,1,0,1,4468943,53,124,216141,128,2734,79.16825164594002,0.1779
0,553587013409325058,#breaking charlie hebdo gunmen's hostage freed and safe after police assault,76,0,0,1,1,2426621,66,2153,318595,469,1200,267.73583333333335,0.2023
0,544513524438155264,"sydney siege: police enter cafe as hostages flee the scene, gunfire heard, reports of an injured person – live URL",114,1,0,0,1,3851339,2,84,335309,20,2853,117.56572029442692,-0.4019
1,672219174463275008,"pres. obama on #sanbernardino: ""we have a pattern now of mass shootings in this country."" URL URL",97,2,0,1,1,17764563,60,238,403483,170,2434,165.9617912900575,0.0
0,614628865353351168,the white house takes on rainbow hues in celebrating #scotusmarriage decision: URL URL,86,2,0,1,1,14349307,30,387,283909,412,3017,94.37785880013259,0.5719
0,544358564484378624,police: negotiators are now in contact with armed hostage-taker in sydney situation; motive remains unknown - URL,113,1,0,0,1,17764563,2,94,403483,18,2081,193.9437770302739,0.0
0,544278985249550337,geoblock lifted on #abcnews24. streaming coverage of the martin place siege in sydney here URL,94,1,0,1,1,123249,16,235,23033,58,2116,11.031190926275993,0.0
0,544367462012432384,"more: police confirm 3 hostages escape sydney cafe, unknown number remain inside URL #sydneysiege",97,1,0,1,1,23453409,8,88,516420,49,2830,182.53180212014135,0.25
0,614645853291155457,"as sun goes down, white house lights up rainbow colors to celebrate scotus ruling: URL URL",90,2,0,0,1,4466222,17,147,1083244,151,3019,358.913216296787,0.5719
0,552791196247269378,"breaking: at least 10 killed in shooting at french satirical newspaper charlie hebdo, paris prosecutor's office says. URL",121,1,0,0,1,14349307,47,218,283909,59,2846,99.87104708362614,-0.6705
0,524943490887991296,"confirmed | 1 shooter shot dead at parliament hill, but there is more than 1 suspect. #cbcott #ottnews",102,0,0,2,1,262529,6,650,152103,92,2107,72.54437588989084,-0.7046
1,677099574855639044,plumber suing car dealership for $1m after truck he traded in ends up in hands of isis: URL URL,95,2,0,0,1,17764563,12,102,403483,79,2447,164.96771557008583,-0.2732
0,544391533240516608,five hostages have escaped the besieged lindt cafe in #sydney | our latest update: URL URL,90,2,0,1,1,8227579,3,111,321646,69,2799,114.97999285459092,0.0
1,656825206045020160,"#backtothefuture fans, it's october 21, 2015 — the future is finally here! URL URL",82,2,0,1,1,8858388,8,253,359977,210,2694,133.79658500371195,0.0
0,525025279803424768,the soldier shot dead in wednesday's ottawa attacks has been named as cpl. nathan cirillo of #hamont #ottawashooting URL,120,1,0,2,1,8468,7,90,232744,30,2718,85.67733627667403,-0.802
1,666051332504207360,jindal protests sending of syrian refugees to new orleans URL URL,65,2,0,0,1,342703,19,79,154724,58,2488,62.250803858520904,-0.2263
0,553544694765215745,french police publishes photos of suspect in yesterday's montrouge shooting. maybe the same persons in kosher market URL,120,1,0,0,1,111434,15,134,14061,16,2634,5.400911161731207,-0.296
1,674080899055546368,a vote for donald trump is a vote for adolf hitler.,51,0,0,0,0,8065,13,85,61508,123,1679,36.76533650982728,0.0
1,657007736467525632,"steve jobs was adopted. his biological father was abdulfattah jandali, a syrian muslim.",87,0,0,0,0,3479060,5,201,802369,155,3131,256.3813478122006,0.0
0,614626710248534016,these colors celebrate a new chapter in the history of american civil rights. #lovewins URL URL,95,2,0,1,1,3583605,16,191,320542,194,3012,106.55478087649402,0.5719
0,649903655160815616,vatican says #kimdavis' meeting w/ #popefrancis 'should not be considered a form of support.' URL URL,101,2,0,2,1,60824713,121,278,392532,373,3157,124.58156477668673,0.4019
1,674301960787505153,donald trump has been disqualified for running for president URL,64,1,0,0,0,9282,4,99,93102,101,589,158.41426146010187,-0.4215
1,661870323034431489,holy shit. rupert murdoch just killed national geographic. URL,62,1,0,0,0,1752,20,413,76710,77,2462,31.364744110479286,-0.8442
1,637873886072320001,sanders closes to 7 points behind clinton in new iowa poll. URL URL,67,2,0,0,1,60824714,27,143,392532,285,3124,125.79609475032011,0.0
0,525056576038518785,soldier killed in canada shooting was a young reservist with a six-year-old son URL URL,87,2,0,0,1,3346540,125,786,519774,322,2225,234.16044943820225,-0.6705
1,672433211604013057,reagan (11 mass shootings) bush sr (12 mass shootings) clinton (23 mass shootings) bush jr (16 mass shootings) obama (162 mass shootings),137,0,0,0,0,104785,189,1427,277245,1012,1227,228.09535452322737,0.0
0,614618682543616000,white house shines rainbow-colored lights in honor of #scotus gay marriage decision #lovewins URL URL,101,2,0,2,1,3583605,22,330,320542,383,3012,106.6656706507304,0.4939
1,675064077367005184,el chapo threatens isis URL URL,31,2,0,0,0,125650,8,233,245151,131,2400,102.30125,-0.3818
0,544380742076088320,"this is shot that captures the #sydneysiege: sheer terror/relief of escaped hostages, incredible work of @nswpolice URL",119,1,1,1,1,12502,14,322,14157,209,2112,6.961174242424242,0.0
0,614605997953404929,white house lit in rainbow colors after high court's gay marriage ruling (with photo) URL,89,1,0,0,1,16023476,55,320,339278,353,2192,155.11222627737226,0.0
1,629503919098429440,chick-fil-a to open on sundays URL,34,1,0,0,0,527,2,80,1983,44,772,2.731865284974093,0.0
1,626546123713474560,this is how people in china are riding escalators after a horrific accident URL URL,83,2,0,0,1,6248039,37,258,327210,363,3012,108.8539176626826,-0.8176
1,672906198434209792,farook family attorney says brothers in the family never saw tashfeen malik's face because she always wore a burka. URL,119,1,0,0,1,17764563,79,96,403483,51,2435,165.794250513347,0.0
1,673615263040798726,72 dhs employees on terrorist watch list URL,44,1,0,0,1,642505,34,97,114817,61,1424,80.76474719101124,-0.6908
1,641050980985999360,"happy ""$15 minimum wage"" labor day from mcdonalds URL",53,1,0,0,0,1547727,11,100,490914,64,2431,202.0111065405183,0.5719
1,673664899571060736,72 dhs employees on terrorist watch list URL via @kredo0 URL,60,2,1,0,1,151476,5,66,157878,27,1432,110.31843575418995,-0.6908
1,675065047710892033,"mexican drug kingpin 'el chapo' reportedly threatens to destroy isis ""p*ssies."" URL URL",87,2,0,0,1,510682,2,86,72566,64,2549,28.52805021577089,-0.7269
1,668144671772778497,"according to anonymous, the next isis target is a wwe event in atlanta. URL URL",79,2,0,0,1,816477,12,106,393524,28,2945,133.67402376910016,0.0
0,524962142563610625,#breaking rick hughes at cbc hamilton: the soldier who was shot in ottawa wednesday morning is a reservist serving in hamilton,126,0,0,1,0,1207,5,148,4756,25,702,7.028490028490029,0.0
1,627828211003469825,this is how people in china are riding escalators after a horrific accident URL URL,83,2,0,0,1,6248039,17,187,327210,216,3015,108.66666666666667,-0.8176
0,614594195479752704,white house lit in rainbow colors after today's historic supreme court ruling #scotusmarriage URL,97,1,0,1,1,1049821,31,593,193559,777,2845,68.52724077328647,0.5574
0,614593989203886080,the @whitehouse is lit up like a rainbow! #lovewins URL,55,1,1,1,1,40636,4,154,32696,220,2336,14.158390410958905,0.4199
1,651959206287908868,"donald trump's capture, dead or alive, is reportedly worth $100 million to el chapo. URL URL",92,2,0,0,1,2566098,60,2528,383689,1756,2803,138.43489118801284,-0.2023
0,681147789653356544,katy perry -- makes holiday wish come true for burn victim URL,62,1,0,0,1,6520851,19,240,398847,357,2657,150.34362062476478,0.7269
1,652882609219833856,.@realdonaldtrump: what's the secret of my popularity? my looks. i'm very handsome. URL URL,91,2,1,0,1,60824715,142,287,392532,305,3165,124.25466034755134,0.7645
0,544476808566276097,tv channels have chosen not to show videos of hostages relaying #sydneysiege gunman's demands. URL URL,102,2,0,1,1,8275416,23,108,563067,58,2706,208.15077605321508,0.0
1,647464349611589632,"poll: @hillaryclinton trails @berniesanders in new hampshire, even without @vp in the race URL URL",98,2,3,0,1,60824714,28,124,392532,172,3150,124.71619047619048,0.0
0,524952883343925249,watch video showing gunfire inside canada's parliament in ottawa URL URL,72,2,0,0,1,51533833,47,809,38623,225,2740,14.49051094890511,0.0
1,656662726014599168,"the father of steve jobs, the ground-breaking founder of apple, was a refugee from syria URL URL",96,2,0,0,1,27140191,32,414,328595,257,3084,106.77626459143968,0.0
1,674229534888185856,who said it: donald trump or adolf hitler? URL URL,50,2,0,0,1,3346540,17,179,519774,127,2637,197.23056503602578,0.0
1,600451916414484480,nasa recently released imagery showing the deforestation of america …in just 34 years. URL,90,1,0,0,0,14776,3,245,3539,119,683,5.718887262079063,0.0
1,641088973717110784,#imachristianbut i wish chick-fil-a was open on sundays.,56,0,0,1,0,346,2,104,34656,172,1732,20.169745958429562,0.4019
0,553508098825261056,police have surrounded this building where the suspected #charliehebdo attackers are holed-up URL URL,101,2,0,1,1,9351328,9,173,357410,61,2488,143.75120578778134,-0.6808
0,614628136634949632,the @whitehouse is lit up in a rainbow #lovewins URL,52,1,1,1,0,572517,6,194,40643,244,2253,18.236573457612074,0.0
0,580324027715063808,"just in: germanwings plane crashes in southern france, up to 150 feared dead URL",80,1,0,0,1,1231608,3,139,659115,18,2147,307.06800186306475,-0.8176
1,674301413040758785,".@presssec: @realdonaldtrump muslim comment ""disqualifies"" him from presidency URL URL",86,2,2,0,1,14349307,60,913,283909,645,3181,89.76013832128261,0.0
0,524941132237910016,here's that dramatic video via @josh_wingrove of shots fired inside parliament building: URL #ottawa #shooting,110,1,1,2,1,1754,2,77,8237,18,2001,4.164917541229386,-0.5574
1,655986243042459648,"steve jobs was adopted. his biological father was abdulfattah jandali, a syrian muslim.",87,0,0,0,0,3479060,2,328,802369,215,3128,256.6860613810742,0.0
0,544283772569788416,live updates: siege in sydney cafe URL,38,1,0,0,1,8278077,17,134,563067,44,2706,208.1529933481153,0.0
1,662381914842603520,"rt @operation_kkk: official #opkkk #hoodsoff 2015 data release URL with love, anonymous . URL",93,2,1,2,0,29134,5,85,154072,53,1941,79.45131375579598,0.6369
0,615494435074363392,"if they can light up the white house like a rainbow for gay pride, it sure as hell better be red, white & blue for independence day. merica.",140,0,0,0,0,213275,10,1188,10388,1793,924,14.479437229437229,0.5423
0,676367888543031296,"north carolina town rejects solar panels for sucking ""up all the energy from the sun.” URL URL",94,2,0,0,1,206954,49,320,139411,164,2755,50.79637023593467,-0.2732
1,613425834301485056,police bought #dylannroof food from @burgerking after he was arrested for church shooting: URL URL,98,2,1,1,1,620715,15,87,148514,27,2294,64.79642545771578,-0.4767
1,659428447459110912,"#opkkk: #anonymous to reveal identities of 1,000 ku klux klan members URL URL",77,2,0,2,0,479982,7,110,58054,73,1049,55.52335557673975,0.0
1,659439879701602304,fda confiscates several thousand chickens from kfc farms as mutations worsen URL URL,84,2,0,0,0,63594,18,78,54084,26,971,55.8249227600412,-0.5106
0,553590459688570880,several hostages freed at jewish supermarket in paris. photo thomas samson #afp URL,83,1,0,1,1,199664,68,2024,36560,553,823,47.636695018226,0.4019
1,669201837187334144,"steve jobs was adopted. his biological father was abdulfattah jandali, a syrian muslim.",87,0,0,0,0,3479057,4,281,802371,201,3164,253.74747155499367,0.0
0,553476880339599360,"developing: police pursuing #charliehebdo shooting suspects, helicopters deployed - live feed: URL URL",102,2,0,1,1,3078067,3,66,432534,12,1977,218.82397572078906,-0.34
0,500378223977721856,"oh. so now the #ferguson police chief says the cop didn't know about the robbery when he stopped #mikebrown. the kid was ""jaywalking""? bs!",138,0,0,2,1,678839,14,89,620530,44,2172,285.76289134438304,-0.2942
1,651402689352351744,"help the red cross provide food, water & cots for refugees across europe. URL   #aidrefugees URL",96,2,0,1,1,11120277,61,391,266161,789,3233,82.71017630683576,0.4019
1,634943791934406657,marilyn monroe and james dean smoking in new york city URL,58,1,0,0,0,37926,2,103,15648,137,1643,9.671332927571516,0.0
0,544319832486064128,"hostage situation erupts in sydney cafe, australian prime minister says it may be ""politically motivated"" URL",109,1,0,0,1,16023490,24,213,339279,42,1998,169.94894894894895,0.4588
1,666810213274689537,but democrats say that syrian refugees are 3 year-old orphans. so why are they worried about them buying guns?,110,0,0,0,1,1272718,24,66,149631,103,3038,49.31665569453588,-0.4215
0,553512735192141826,update - afp: an unnamed police source says the killing of the policewoman in #paris on thursday is linked to the #charliehebdo attack,134,0,0,2,1,4984442,3,85,57278,24,1892,30.332980972515855,-0.8176
0,544517264054423552,#breaking: police have confirmed that the #sydneysiege is over. #9news,70,0,0,3,1,186953,33,479,313909,209,1601,196.5209244222361,0.0
1,675005503160901632,"after mass shootings, obama seeks to expand background checks for gun sales by executive order to bypass congress URL",117,1,0,0,1,555540,45,143,85999,100,1469,58.73859768550034,-0.0258
0,641082932740947972,"judy carne, ‘sock it to me girl’ on ‘laugh-in,’ dies at 76 URL",62,1,0,0,1,54785196,25,166,494218,132,3112,158.9142030848329,0.0
